created_at,id,in_reply_to_screen_name,in_reply_to_user_id,retweeted_id,retweeted_screen_name,user_mentions_screen_name,user_mentions_id,text,user_id,screen_name,location,followersCount,replyCount,retweetCount,likeCount,quoteCount,latitudes,longitudes,withinQ
2020-11-05 14:32:05+00:00,1.32E+18,,,,,,1.32E+18,#VoteOutEveryDemocrat #ReplaceEveryDemocrat #CivilWar2 #CivilWar2020 #Trump2020 #TrumpSupport #TrumpWon #VoterFraudIsReal #DemocratsLie #StopTheCount!,1.22E+18,IIH8DEMS,"Arizona, USA",10,0,0,0,0,34.395342,-111.763275,TRUE
2020-11-05 14:40:28+00:00,1.32E+18,,,,"[Photo(previewUrl='https://pbs.twimg.com/media/EmETQgwXEAIuPK0?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EmETQgwXEAIuPK0?format=jpg&name=large')]",,1.32E+18,#TrumpWon #DemocratsAreCheating https://t.co/xVOAHEF7P5,330675150,JKHomestead,"Kenosha, WI",2100,2,37,63,5,42.5846773,-87.8212263,TRUE
2020-11-05 14:49:11+00:00,1.32E+18,https://twitter.com/tobiaswift13,1.32E+18,,,"[User(username='tobiaswift13', id=2796573694, displayname='Tobias', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='realDonaldTrump', id=25073877, displayname='Donald J. Trump', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1.32E+18,@tobiaswift13 @realDonaldTrump Well I got news for you he's not leaving and the military along with all his supporters are behind him ! Maga ! #trumpwon,7.96E+17,MakeUsGreat9999,"Georgia, USA",2,0,0,0,0,32.3293809,-83.1137366,TRUE
2020-11-05 15:15:43+00:00,1.32E+18,https://twitter.com/BigStickie,1.32E+18,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1324367996555534336/pu/img/di6V3EmoUyRZAqDi.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1324367996555534336/pu/vid/800x450/SGNOPXyq5kgGN8yr.mp4?tag=10', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1324367996555534336/pu/vid/480x270/eDjUhNYQJYkkAy1D.mp4?tag=10', bitrate=256000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1324367996555534336/pu/pl/JlGsyU1GUHvyDwZa.m3u8?tag=10', bitrate=None)], duration=1.8, views=49)]","[User(username='BigStickie', id=1840765224, displayname='Sticky Dabs', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='PrettyWoods1', id=841584958607130624, displayname='Heather Gummer🇺🇸⭐⭐⭐', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='BCharlote', id=837028350, displayname='🇺🇸 Charlote 🇺🇸', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='ckgirl67', id=2524394555, displayname='⭐️⭐️⭐️Who Is Q ?', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='McguireScotty', id=862716927696916481, displayname='Scotty McGuire', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='JL4USA', id=1089271375368458241, displayname='Jerilynne - Patriot for Trump', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='mikeTexasCowboy', id=1112106278585860098, displayname='mike', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='mieshacamp89', id=1239578214831239170, displayname='🇺🇸CaliforniaPatriot🇺🇸', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='ohmailman27', id=1248311919607533568, displayname='OHMAILMAN27', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='Melinda41016666', id=1211527893387362304, displayname='Melinda Jones', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='ChafinMinnie', id=1071534408878960641, displayname='Minnie chafin', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='JudieHall9', id=842150939226132480, displayname='Judie Hall', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='MAGAPILL', id=314547496, displayname='MAGAPILL 🇺🇸🦅', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='cadams320', id=837710942485917696, displayname='Cadams', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='ExpertechBill', id=322098943, displayname='Bill', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='HJamesPinkerto1', id=1242904549045817347, displayname='pinky1776', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='AppleMcConnell', id=960940407759650816, displayname='Apple McConnell', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='BigStickie', id=1840765224, displayname='Sticky Dabs', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1.32E+18,@BigStickie @robjoz83 @PrettyWoods1 @BCharlote @BullPup2A @ckgirl67 @McguireScotty @BadgerforTrump @JL4USA @mikeTexasCowboy @mieshacamp89 @ohmailman27 @Melinda41016666 @ChafinMinnie @JudieHall9 @MAGAPILL @cadams320 @ExpertechBill @JAMMERBONE @HJamesPinkerto1 @AppleMcConnell Thanks @BigStickie 😊🎸FIGHT THE FRAUD!!! #LawAndOrder #MAGA2020 #PresidentTrump #TrumpWon #StoptheVote #ifb 🇺🇸🇺🇸🇺🇸 https://t.co/ozSBG7O34z,28693889,rockn2freedom,East TN,4651,0,1,2,0,35.0424642,-88.8914692,TRUE
2020-11-05 15:16:22+00:00,1.32E+18,,,,,,1.32E+18,#Trumpwon https://t.co/XxuWAP37fk,870386990,DanBigham13,"Delaware, OH",203,0,0,0,0,40.2317686,-82.9651045,TRUE
2020-11-05 15:19:11+00:00,1.32E+18,https://twitter.com/FeralFlavorful,1.32E+18,,,"[User(username='FeralFlavorful', id=889587932427730944, displayname='Flavorful Feral', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='ChristieGolden', id=26176925, displayname='Christie Golden', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='formbextron', id=22036430, displayname='✨Bex', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1.32E+18,@FeralFlavorful @ChristieGolden @formbextron Yes I have morals and integrity and respect for freedom and liberty. Things the biden campaign lack severley. #trumpwon. Hmjust wait and see,1090806246,Johnhop81,"Michigan, USA",33,2,0,0,0,43.6211955,-84.6824346,TRUE
2020-11-05 15:25:15+00:00,1.32E+18,,,,"[Photo(previewUrl='https://pbs.twimg.com/media/EmEdgcOXgAAnYdY?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EmEdgcOXgAAnYdY?format=jpg&name=large')]","[User(username='realDonaldTrump', id=25073877, displayname='Donald J. Trump', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1.32E+18,#Recount2020 #Election2020 #ElectionNight #eleccion2020 #2020Elections #trumpwon #Trump2020 @realDonaldTrump https://t.co/oQfehHIUoa,1.27E+18,AltAltLeft,"Goodland, FL",62,1,0,0,0,25.9264035,-81.6476765,TRUE
2020-11-05 15:28:46+00:00,1.32E+18,,,,,,1.32E+18,Going to be some huge rallies today across America! #TrumpWon https://t.co/B7034c3RQy,18761930,foxtroopervet,"North Dakota, USA",8433,0,0,1,0,47.6201461,-100.540737,TRUE
2020-11-05 15:42:38+00:00,1.32E+18,,,,,"[User(username='realDonaldTrump', id=25073877, displayname='Donald J. Trump', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1.32E+18,"@realDonaldTrump 
WE THE PEOPLE DEMAND RECOUNT OR REDO ON THE ELECTION! 
#TrumpWon #ElectionFraud https://t.co/2rs5cAq0we",7.50E+17,PatrioticGirl71,"Currently Free Florida, USA",471,0,2,2,0,28.75054,-82.5001,TRUE
2020-11-05 15:43:40+00:00,1.32E+18,,,,,,1.32E+18,A true patriotic on my friend list couldn’t say any better 👏👏👏 #TRUMPWON ! #Trump2020 #DEMSARECHEATING  https://t.co/4QRw1gufpI,9.94E+17,1anOnlyMary,"Utica, NY",332,0,1,2,0,43.1009031,-75.2326641,TRUE
