created_at,id,in_reply_to_screen_name,in_reply_to_user_id,retweeted_id,retweeted_screen_name,user_mentions_screen_name,user_mentions_id,text,user_id,screen_name,location,followersCount,replyCount,retweetCount,likeCount,quoteCount
2020-11-13 23:55:55+00:00,1327399828930895874,,,,,,1327399828930895874,"#TrumpWon and the whole world knows it, even you #DemonRats",1092970609125085184,IAmWilling2DoIt,"New York, USA",1023,0,0,0,0
2020-11-13 23:32:44+00:00,1327393992984596480,,,,"[Photo(previewUrl='https://pbs.twimg.com/media/EmvZxqaUwAAtGEg?format=png&name=small', fullUrl='https://pbs.twimg.com/media/EmvZxqaUwAAtGEg?format=png&name=large')]",,1327393992984596480,"#TrumpWon in a landside

Joe no way https://t.co/Z8G6LqKCdj https://t.co/phzBJVidEu",3288930031,EllDevon,"Lethbridge, Alberta",2883,1,0,1,0
2020-11-13 23:30:20+00:00,1327393391005601792,,,,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/EmvZQDnWMAUD-5-.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/tweet_video/EmvZQDnWMAUD-5-.mp4', bitrate=0)])]",,1327393391005601792,"Thanks to lies coming from the media pretending Biden won the election, I’ve spent this last week reassuring elderly friends not to worry, over and over again. It’s starting to piss me off. Fake News is the Enemy of the People. Trump won!

#FakeNews
#Trump2020Landslide
#TrumpWon https://t.co/759E5QtA1X",1243196724535009280,SemraDontStopB1,"17th State, USA! ",562,5,0,12,2
2020-11-13 23:25:49+00:00,1327392251924844549,,,,,"[User(username='ABC', id=28785486, displayname='ABC News', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='nbc', id=26585095, displayname='NBC Entertainment', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='CBS', id=97739866, displayname='CBS', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='MSNBC', id=2836421, displayname='MSNBC', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='CNN', id=759251, displayname='CNN', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='NPR', id=5392522, displayname='NPR', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='FoxNews', id=1367531, displayname='Fox News', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1327392251924844549,Hey @ABC @NBC @CBS @MSNBC @CNN @NPR @FoxNews When you lie and mock President Trump . You are mocking 73 million LEGAL LIVING AMERICANS that voted for him . #WeAreTrump #WeAreWithTrump #TrumpWon,300596947,wtony_tony,In my right mind ,2957,0,0,0,0
2020-11-13 23:07:17+00:00,1327387588970352640,,,,,,1327387588970352640,Leadership! #Trumpwon https://t.co/j3eaI6Hx8l,709842763509047297,Indylein1,"Fort Wayne, IN",45,0,0,0,0
2020-11-13 23:03:55+00:00,1327386743386075146,,,,,,1327386743386075146,"#TrumpWon
NUFF SAID!!!!",265941218,tony_da_cappi01,"Alabama, USA",608,0,0,0,0
2020-11-13 22:52:10+00:00,1327383785781026818,https://twitter.com/Blackclover481,1.327336802424922e+18,,,"[User(username='Blackclover481', id=1310747048082395141, displayname='Blackclover48', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='TeresaBumgarne1', id=1225947902247342080, displayname='👠🇺🇲💋 TRUMP 2020 🇺🇲🦅', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1327336802424922112,"@Blackclover481 @TeresaBumgarne1 I need to see more inspiration in my timeline from Patriots.
#IFBAP
#IBelieveInTrump
#GodBlessTheRepublic
#TheCalvaryIsComing
#TrumpWon

Also, on Parler:
https://t.co/blq7A8sfBL",16815869,Nichelle_D,"O Fallon, Missouri",1521,1,0,1,0
2020-11-13 22:49:35+00:00,1327383134070054912,,,,,,1327383134070054912,"TRUMP WON .. and the whole world KNOWS IT !
#TrumpWon",1372235592,JaneToegel,"Minnesota, USA",3568,0,1,6,0
2020-11-13 22:19:12+00:00,1327375488633942016,,,,"[Photo(previewUrl='https://pbs.twimg.com/media/EmvI-HhXcAYUkfj?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EmvI-HhXcAYUkfj?format=jpg&name=large')]",,1327375488633942016,Disputed by all of America #TrumpWon #DemVoterFraud #FakeAndDeadDemVoters https://t.co/DjXhMJyLnu,201931078,desert1vet,USA ,1050,1,0,0,0
2020-11-13 22:11:55+00:00,1327373655265980417,,,,,,1327373655265980417,"Don't forget 12 Round Productions had it all in 2017. 
https://t.co/LCJtAPNuOg
#maga #patriots #TRUMP2020ToSaveAmerica  #trumpwon #America",1140725860334493700,TLDavis37696301,Texas,1147,0,1,2,0
